1, 14940, Tempo, 547445
1, 15000, Tempo, 512033
1, 15060, Tempo, 565025
1, 15120, Tempo, 529708
1, 15180, Tempo, 512033
1, 15240, Tempo, 520969
1, 15360, Tempo, 547445
1, 15420, Tempo, 529708
1, 15480, Tempo, 538600
1, 15540, Tempo, 503187
1, 15600, Tempo, 538600
1, 15660, Tempo, 547445
1, 15720, Tempo, 520969
1, 15780, Tempo, 547445
1, 15840, Tempo, 520969
1, 15900, Tempo, 503187
1, 15960, Tempo, 529708
1, 16020, Tempo, 547445
1, 16080, Tempo, 520969
1, 16140, Tempo, 538600
1, 16200, Tempo, 529708
1, 16260, Tempo, 547445
1, 16320, Tempo, 503187
1, 16380, Tempo, 529708
1, 16440, Tempo, 556225
1, 16500, Tempo, 520969
1, 16620, Tempo, 538600
1, 16680, Tempo, 503187
1, 16740, Tempo, 538600
1, 16800, Tempo, 556225
1, 16860, Tempo, 520969
1, 16920, Tempo, 538600
1, 16980, Tempo, 529708
1, 17040, Tempo, 494438
1, 17100, Tempo, 556225
1, 17160, Tempo, 529708
1, 17220, Tempo, 503187
1, 17281, Tempo, 419229
1, 17340, Tempo, 494438
1, 17400, Tempo, 565025
1, 17460, Tempo, 520969
1, 17520, Tempo, 529708
1, 17760, Tempo, 503187
1, 17820, Tempo, 547445
1, 17940, Tempo, 494438
1, 18120, Tempo, 520969
1, 18180, Tempo, 538600
1, 18240, Tempo, 512033
1, 18300, Tempo, 529708
1, 18420, Tempo, 538600
1, 18540, Tempo, 512033
1, 18600, Tempo, 520969
1, 18720, Tempo, 547445
1, 18780, Tempo, 538600
1, 18840, Tempo, 520969
1, 18960, Tempo, 556225
1, 19020, Tempo, 520969
1, 19200, Tempo, 529708
1, 19260, Tempo, 520969
1, 19320, Tempo, 556225
1, 19380, Tempo, 538600
1, 19440, Tempo, 494438
1, 19500, Tempo, 556225
1, 19560, Tempo, 503187
1, 19620, Tempo, 529708
1, 19740, Tempo, 538600
1, 19800, Tempo, 547445
1, 19860, Tempo, 503187
1, 19920, Tempo, 538600
1, 19980, Tempo, 529708
1, 20040, Tempo, 547445
1, 20100, Tempo, 512033
1, 20160, Tempo, 556225
1, 20220, Tempo, 529708
1, 20280, Tempo, 512033
1, 20340, Tempo, 529708
1, 20400, Tempo, 547445
1, 20460, Tempo, 512033
1, 20580, Tempo, 538600
1, 20640, Tempo, 529708
1, 20700, Tempo, 538600
1, 20760, Tempo, 520969
1, 20880, Tempo, 529708
1, 20940, Tempo, 565025
1, 21000, Tempo, 512033
1, 21060, Tempo, 538600
1, 21120, Tempo, 520969
1, 21180, Tempo, 512033
1, 21240, Tempo, 565025
1, 21300, Tempo, 494438
1, 21360, Tempo, 556225
1, 21420, Tempo, 520969
1, 21480, Tempo, 538600
1, 21540, Tempo, 520969
1, 21600, Tempo, 529708
1, 21660, Tempo, 547445
1, 21720, Tempo, 520969
1, 21780, Tempo, 512033
1, 21840, Tempo, 529708
1, 21900, Tempo, 538600
1, 22020, Tempo, 503187
1, 22080, Tempo, 556225
1, 22140, Tempo, 529708
1, 22200, Tempo, 503187
1, 22260, Tempo, 556225
1, 22320, Tempo, 583544
1, 22380, Tempo, 616967
1, 22440, Tempo, 503187
1, 22500, Tempo, 529708
1, 22560, Tempo, 547445
1, 22620, Tempo, 503187
1, 22680, Tempo, 538600
1, 22740, Tempo, 520969
1, 22800, Tempo, 556225
1, 22860, Tempo, 538600
1, 22920, Tempo, 520969
1, 22980, Tempo, 538600
1, 23040, Tempo, 520969
1, 23100, Tempo, 512033
1, 23160, Tempo, 556225
1, 23220, Tempo, 512033
1, 23280, Tempo, 547445
1, 23340, Tempo, 494438
1, 23400, Tempo, 547445
1, 23460, Tempo, 538600
1, 23520, Tempo, 503187
1, 23580, Tempo, 529708
1, 23640, Tempo, 547445
1, 23700, Tempo, 538600
1, 23760, Tempo, 503187
1, 23820, Tempo, 538600
1, 23880, Tempo, 556225
1, 23935, Tempo, 623182
1, 24060, Tempo, 494438
1, 24115, Tempo, 651042
1, 24240, Tempo, 547445
1, 24300, Tempo, 512033
1, 24420, Tempo, 538600
1, 24480, Tempo, 556225
1, 24540, Tempo, 520969
1, 24600, Tempo, 529708
1, 24660, Tempo, 538600
1, 24720, Tempo, 529708
1, 24780, Tempo, 494438
1, 24840, Tempo, 529708
1, 24900, Tempo, 547445
1, 25020, Tempo, 520969
1, 25080, Tempo, 512033
1, 25140, Tempo, 538600
1, 25200, Tempo, 520969
1, 25260, Tempo, 529708
1, 25320, Tempo, 520969
1, 25380, Tempo, 556225
1, 25440, Tempo, 538600
1, 25500, Tempo, 503187
1, 25560, Tempo, 556225
1, 25620, Tempo, 520969
1, 25680, Tempo, 529708
1, 25800, Tempo, 538600
1, 25860, Tempo, 520969
1, 25920, Tempo, 512033
1, 25980, Tempo, 529708
1, 26100, Tempo, 556225
1, 26160, Tempo, 494438
1, 26220, Tempo, 547445
1, 26280, Tempo, 529708
1, 26400, Tempo, 538600
1, 26460, Tempo, 512033
1, 26520, Tempo, 520969
1, 26580, Tempo, 529708
1, 26640, Tempo, 556225
1, 26700, Tempo, 512033
1, 26760, Tempo, 556225
1, 26820, Tempo, 512033
1, 26880, Tempo, 520969
1, 26940, Tempo, 529708
1, 27000, Tempo, 556225
1, 27060, Tempo, 494438
1, 27120, Tempo, 556225
1, 27180, Tempo, 529708
1, 27240, Tempo, 512033
1, 27300, Tempo, 520969
1, 27360, Tempo, 565025
1, 27420, Tempo, 520969
1, 27480, Tempo, 503187
1, 27540, Tempo, 538600
1, 27600, Tempo, 547445
1, 27660, Tempo, 538600
1, 27720, Tempo, 503187
1, 27780, Tempo, 547445
1, 27840, Tempo, 512033
1, 27900, Tempo, 556225
1, 27960, Tempo, 494438
1, 28020, Tempo, 529708
1, 28080, Tempo, 538600
1, 28140, Tempo, 547445
1, 28200, Tempo, 520969
1, 28320, Tempo, 529708
1, 28380, Tempo, 538600
1, 28440, Tempo, 512033
1, 28500, Tempo, 565025
1, 28560, Tempo, 512033
